iter	Passed	Remaining
0	112	112805
1	263	131424
2	378	125867
3	505	125845
4	609	121310
5	726	120386
6	844	119836
7	965	119668
8	1081	119089
9	1203	119161
10	1326	119243
11	1435	118160
12	1550	117756
13	1660	116912
14	1776	116633
15	1891	116343
16	2020	116810
17	2132	116326
18	2230	115140
19	2355	115403
20	2462	114791
21	2563	113971
22	2666	113249
23	2767	112564
24	2887	112630
25	2988	111950
26	3102	111819
27	3216	111665
28	3314	110992
29	3429	110877
30	3542	110725
31	3646	110321
32	3756	110079
33	3857	109599
34	3974	109585
35	4086	109424
36	4191	109090
37	4307	109041
38	4422	108979
39	4541	108990
40	4644	108635
41	4744	108227
42	4866	108300
43	4977	108137
44	5080	107818
45	5199	107824
46	5308	107641
47	5421	107535
48	5532	107370
49	5662	107580
50	5772	107405
51	5871	107044
52	5986	106965
53	6096	106794
54	6198	106500
55	6306	106311
56	6440	106546
57	6587	106984
58	6715	107103
59	6824	106913
60	6930	106684
61	7039	106507
62	7151	106357
63	7255	106112
64	7377	106125
65	7506	106231
66	7624	106178
67	7744	106148
68	7849	105907
69	7954	105682
70	8060	105473
71	8161	105189
72	8267	104983
73	8372	104763
74	8488	104690
75	8601	104574
76	8709	104395
77	8806	104099
78	8907	103846
79	9012	103648
80	9117	103447
81	9232	103358
82	9345	103250
83	9456	103121
84	9566	102977
85	9693	103016
86	9795	102795
87	9904	102651
88	10006	102430
89	10111	102233
90	10230	102189
91	10331	101970
92	10431	101733
93	10562	101806
94	10662	101578
95	10758	101306
96	10867	101169
97	10978	101044
98	11079	100837
99	11191	100725
100	11296	100549
101	11400	100365
102	11493	100092
103	11594	99887
104	11712	99834
105	11805	99569
106	11905	99358
107	12002	99134
108	12121	99082
109	12222	98894
110	12318	98660
111	12416	98444
112	12521	98292
113	12640	98238
114	12743	98073
115	12837	97833
116	12943	97685
117	13047	97521
118	13151	97366
119	13262	97258
120	13378	97188
121	13473	96967
122	13576	96802
123	13678	96635
124	13774	96423
125	13880	96285
126	13999	96230
127	14103	96082
128	14235	96114
129	14325	95873
130	14416	95634
131	14514	95440
132	14613	95264
133	14718	95119
134	14837	95070
135	14978	95158
136	15086	95031
137	15192	94900
138	15299	94768
139	15395	94574
140	15496	94409
141	15609	94318
142	15707	94133
143	15797	93908
144	15897	93741
145	16006	93626
146	16103	93446
147	16211	93323
148	16308	93145
149	16409	92986
150	16504	92798
151	16601	92616
152	16698	92444
153	16797	92274
154	16901	92139
155	17001	91980
156	17096	91798
157	17199	91659
158	17294	91474
159	17407	91391
160	17520	91304
161	17621	91153
162	17739	91090
163	17852	91003
164	17969	90937
165	18059	90731
166	18164	90602
167	18260	90431
168	18369	90326
169	18465	90156
170	18565	90003
171	18679	89921
172	18800	89870
173	18903	89735
174	19011	89626
175	19111	89476
176	19214	89340
177	19312	89182
178	19447	89199
179	19553	89075
180	19647	88903
181	19746	88751
182	19855	88642
183	19961	88524
184	20059	88369
185	20170	88273
186	20268	88118
187	20382	88033
188	20504	87985
189	20595	87803
190	20695	87656
191	20791	87495
192	20881	87312
193	20973	87138
194	21075	87002
195	21179	86880
196	21271	86704
197	21378	86594
198	21479	86457
199	21581	86325
200	21687	86210
201	21789	86077
202	21907	86012
203	22018	85916
204	22111	85750
205	22213	85618
206	22314	85483
207	22411	85335
208	22508	85186
209	22616	85082
210	22708	84914
211	22817	84810
212	22936	84744
213	23041	84629
214	23153	84537
215	23270	84464
216	23367	84317
217	23462	84164
218	23556	84007
219	23654	83865
220	23762	83761
221	23863	83630
222	23976	83542
223	24092	83464
224	24208	83385
225	24338	83354
226	24445	83242
227	24543	83102
228	24640	82960
229	24741	82829
230	24847	82718
231	24965	82644
232	25072	82534
233	25173	82405
234	25284	82308
235	25403	82239
236	25502	82103
237	25619	82024
238	25723	81905
239	25838	81820
240	25942	81703
241	26038	81558
242	26149	81461
243	26244	81316
244	26338	81166
245	26434	81023
246	26551	80945
247	26658	80836
248	26759	80707
249	26867	80601
250	26975	80496
251	27075	80367
252	27172	80229
253	27281	80127
254	27381	79995
255	27473	79844
256	27577	79729
257	27687	79627
258	27807	79556
259	27911	79439
260	28009	79305
261	28115	79194
262	28225	79094
263	28319	78950
264	28413	78807
265	28529	78723
266	28640	78628
267	28741	78501
268	28841	78375
269	28939	78242
270	29056	78163
271	29167	78067
272	29280	77975
273	29379	77844
274	29474	77706
275	29578	77590
276	29673	77452
277	29783	77352
278	29894	77254
279	30006	77160
280	30091	76996
281	30199	76891
282	30297	76760
283	30416	76682
284	30512	76547
285	30629	76466
286	30723	76325
287	30823	76203
288	30928	76090
289	31029	75969
290	31149	75893
291	31258	75791
292	31377	75713
293	31479	75593
294	31576	75461
295	31681	75351
296	31785	75237
297	31885	75113
298	31990	75001
299	32094	74887
300	32201	74779
301	32310	74677
302	32414	74563
303	32522	74458
304	32625	74343
305	32720	74210
306	32831	74111
307	32942	74013
308	33048	73904
309	33170	73830
310	33268	73703
311	33375	73596
312	33474	73473
313	33588	73381
314	33697	73278
315	33805	73173
316	33919	73081
317	34022	72965
318	34129	72859
319	34239	72758
320	34339	72636
321	34447	72532
322	34559	72435
323	34651	72297
324	34758	72191
325	34869	72092
326	34964	71961
327	35057	71826
328	35155	71699
329	35247	71562
330	35343	71433
331	35460	71348
332	35559	71224
333	35658	71104
334	35769	71004
335	35870	70886
336	35976	70778
337	36081	70668
338	36183	70551
339	36283	70433
340	36382	70311
341	36490	70206
342	36592	70091
343	36684	69956
344	36796	69860
345	36921	69788
346	37029	69683
347	37138	69580
348	37258	69499
349	37362	69386
350	37485	69309
351	37596	69211
352	37700	69100
353	37809	68996
354	37946	68944
355	38046	68825
356	38158	68727
357	38276	68640
358	38388	68542
359	38492	68431
360	38597	68321
361	38696	68199
362	38807	68099
363	38921	68005
364	39032	67906
365	39138	67796
366	39260	67717
367	39355	67589
368	39446	67454
369	39555	67351
370	39647	67218
371	39744	67094
372	39852	66990
373	39958	66882
374	40051	66752
375	40168	66662
376	40266	66540
377	40367	66425
378	40470	66311
379	40573	66199
380	40669	66074
381	40763	65947
382	40874	65848
383	40960	65707
384	41067	65601
385	41181	65505
386	41300	65418
387	41438	65361
388	41539	65245
389	41640	65129
390	41742	65015
391	41832	64883
392	41927	64759
393	42032	64648
394	42144	64549
395	42243	64431
396	42353	64330
397	42450	64208
398	42547	64087
399	42647	63971
400	42771	63891
401	42888	63798
402	42987	63681
403	43085	63562
404	43189	63450
405	43309	63364
406	43407	63244
407	43508	63129
408	43627	63041
409	43723	62918
410	43823	62803
411	43926	62690
412	44024	62572
413	44119	62449
414	44235	62356
415	44330	62233
416	44432	62119
417	44534	62007
418	44633	61889
419	44740	61784
420	44849	61681
421	44956	61574
422	45052	61455
423	45151	61337
424	45258	61231
425	45356	61114
426	45457	61000
427	45555	60882
428	45657	60769
429	45762	60661
430	45869	60556
431	45972	60444
432	46079	60339
433	46167	60209
434	46275	60104
435	46374	59988
436	46471	59870
437	46584	59772
438	46698	59676
439	46798	59562
440	46901	59450
441	47002	59337
442	47108	59230
443	47224	59137
444	47342	59044
445	47465	58958
446	47574	58856
447	47678	58746
448	47773	58626
449	47868	58505
450	47969	58393
451	48090	58304
452	48215	58219
453	48330	58124
454	48441	58023
455	48553	57923
456	48661	57818
457	48758	57701
458	48858	57586
459	48954	57468
460	49062	57363
461	49164	57252
462	49282	57158
463	49394	57059
464	49503	56955
465	49607	56846
466	49703	56728
467	49794	56604
468	49905	56502
469	50015	56400
470	50120	56292
471	50235	56195
472	50362	56111
473	50464	56000
474	50554	55876
475	50664	55772
476	50783	55681
477	50894	55579
478	50994	55465
479	51102	55361
480	51227	55274
481	51337	55171
482	51431	55052
483	51531	54938
484	51636	54830
485	51748	54730
486	51850	54618
487	51961	54517
488	52066	54408
489	52170	54299
490	52264	54180
491	52371	54074
492	52473	53963
493	52579	53856
494	52676	53740
495	52778	53629
496	52889	53527
497	52993	53419
498	53083	53296
499	53205	53205
500	53299	53087
501	53431	53005
502	53530	52891
503	53624	52773
504	53735	52671
505	53850	52573
506	53954	52465
507	54066	52363
508	54168	52252
509	54281	52152
510	54372	52031
511	54477	51923
512	54587	51820
513	54701	51721
514	54800	51608
515	54898	51494
516	54999	51382
517	55111	51280
518	55216	51173
519	55313	51058
520	55439	50969
521	55546	50864
522	55647	50753
523	55762	50654
524	55859	50539
525	55956	50424
526	56053	50309
527	56154	50198
528	56259	50091
529	56353	49974
530	56454	49862
531	56564	49759
532	56679	49660
533	56804	49570
534	56921	49473
535	57032	49371
536	57135	49261
537	57234	49149
538	57340	49042
539	57445	48935
540	57547	48824
541	57659	48723
542	57764	48616
543	57866	48505
544	57968	48395
545	58066	48282
546	58171	48174
547	58260	48054
548	58370	47951
549	58473	47842
550	58588	47743
551	58704	47644
552	58820	47545
553	58933	47444
554	59045	47342
555	59150	47234
556	59263	47133
557	59358	47018
558	59471	46917
559	59565	46801
560	59672	46695
561	59799	46605
562	59902	46496
563	60016	46396
564	60120	46287
565	60228	46182
566	60324	46067
567	60437	45966
568	60554	45867
569	60644	45749
570	60745	45638
571	60851	45531
572	60963	45429
573	61066	45320
574	61175	45216
575	61272	45103
576	61374	44993
577	61511	44909
578	61616	44802
579	61728	44699
580	61835	44593
581	61941	44487
582	62043	44377
583	62133	44259
584	62241	44154
585	62340	44042
586	62444	43934
587	62554	43830
588	62659	43723
589	62767	43617
590	62874	43512
591	62986	43409
592	63086	43298
593	63195	43194
594	63295	43083
595	63432	42998
596	63545	42895
597	63668	42800
598	63772	42692
599	63867	42578
600	63968	42467
601	64068	42357
602	64155	42238
603	64256	42128
604	64379	42032
605	64489	41928
606	64592	41820
607	64710	41721
608	64826	41621
609	64931	41513
610	65029	41401
611	65128	41290
612	65230	41181
613	65336	41074
614	65440	40966
615	65590	40887
616	65701	40783
617	65806	40676
618	65912	40569
619	66015	40461
620	66137	40363
621	66245	40258
622	66350	40150
623	66481	40059
624	66571	39943
625	66674	39834
626	66776	39725
627	66892	39624
628	66994	39515
629	67098	39406
630	67193	39294
631	67304	39190
632	67402	39078
633	67521	38979
634	67622	38869
635	67730	38764
636	67828	38652
637	67928	38542
638	68045	38441
639	68154	38336
640	68256	38228
641	68360	38119
642	68474	38017
643	68598	37920
644	68699	37811
645	68808	37706
646	68905	37594
647	69014	37489
648	69114	37379
649	69229	37277
650	69345	37176
651	69440	37063
652	69543	36955
653	69643	36844
654	69749	36738
655	69853	36630
656	69963	36526
657	70069	36419
658	70210	36330
659	70304	36217
660	70425	36118
661	70519	36005
662	70630	35901
663	70741	35796
664	70856	35694
665	70969	35591
666	71078	35485
667	71187	35380
668	71296	35275
669	71393	35163
670	71501	35058
671	71609	34952
672	71716	34845
673	71801	34729
674	71914	34625
675	72020	34518
676	72128	34412
677	72247	34312
678	72358	34207
679	72465	34101
680	72576	33996
681	72686	33891
682	72797	33787
683	72894	33676
684	72994	33566
685	73093	33456
686	73195	33348
687	73292	33237
688	73397	33130
689	73505	33023
690	73614	32918
691	73733	32817
692	73836	32709
693	73921	32593
694	74018	32482
695	74124	32376
696	74241	32274
697	74335	32162
698	74444	32057
699	74549	31949
700	74659	31844
701	74763	31737
702	74893	31640
703	74992	31531
704	75095	31422
705	75190	31311
706	75296	31204
707	75409	31100
708	75529	31000
709	75630	30891
710	75721	30778
711	75835	30674
712	75946	30570
713	76039	30458
714	76146	30352
715	76264	30250
716	76355	30137
717	76460	30030
718	76570	29925
719	76678	29819
720	76782	29712
721	76887	29604
722	76980	29493
723	77091	29388
724	77196	29281
725	77303	29175
726	77414	29070
727	77512	28960
728	77628	28857
729	77730	28749
730	77842	28645
731	77941	28535
732	78042	28427
733	78166	28327
734	78265	28218
735	78372	28111
736	78482	28006
737	78585	27898
738	78703	27796
739	78826	27695
740	78945	27593
741	79055	27488
742	79159	27380
743	79282	27280
744	79401	27177
745	79514	27073
746	79608	26962
747	79718	26857
748	79829	26751
749	79932	26644
750	80044	26539
751	80150	26432
752	80263	26328
753	80386	26226
754	80493	26120
755	80607	26016
756	80707	25907
757	80822	25803
758	80925	25695
759	81024	25586
760	81130	25479
761	81221	25368
762	81323	25260
763	81421	25151
764	81517	25041
765	81628	24936
766	81726	24826
767	81830	24719
768	81931	24611
769	82029	24502
770	82134	24395
771	82268	24296
772	82388	24194
773	82508	24091
774	82607	23982
775	82707	23874
776	82806	23765
777	82921	23661
778	83033	23556
779	83140	23449
780	83256	23345
781	83367	23240
782	83460	23130
783	83575	23025
784	83694	22922
785	83814	22819
786	83915	22711
787	84016	22603
788	84119	22495
789	84212	22385
790	84321	22279
791	84426	22172
792	84531	22065
793	84622	21954
794	84715	21844
795	84821	21738
796	84933	21632
797	85033	21524
798	85144	21419
799	85242	21310
800	85343	21202
801	85438	21093
802	85538	20985
803	85647	20879
804	85753	20772
805	85852	20664
806	85958	20557
807	86091	20457
808	86200	20351
809	86306	20244
810	86427	20141
811	86567	20042
812	86701	19942
813	86797	19833
814	86901	19726
815	87035	19625
816	87127	19515
817	87228	19407
818	87347	19303
819	87452	19196
820	87553	19088
821	87653	18980
822	87763	18875
823	87910	18776
824	88022	18671
825	88111	18561
826	88211	18452
827	88312	18345
828	88412	18237
829	88523	18131
830	88623	18023
831	88738	17918
832	88842	17811
833	88949	17704
834	89063	17599
835	89168	17492
836	89301	17390
837	89400	17282
838	89494	17173
839	89594	17065
840	89706	16959
841	89808	16852
842	89896	16742
843	90001	16635
844	90099	16527
845	90201	16419
846	90302	16311
847	90394	16202
848	90500	16096
849	90604	15988
850	90710	15882
851	90828	15777
852	90929	15670
853	91022	15561
854	91127	15454
855	91238	15348
856	91334	15240
857	91443	15133
858	91545	15026
859	91652	14920
860	91766	14814
861	91871	14707
862	91986	14602
863	92093	14496
864	92193	14388
865	92289	14280
866	92395	14173
867	92527	14071
868	92634	13964
869	92731	13856
870	92827	13748
871	92935	13641
872	93033	13534
873	93145	13428
874	93259	13322
875	93362	13215
876	93461	13108
877	93562	13000
878	93666	12893
879	93767	12786
880	93890	12682
881	94005	12576
882	94117	12470
883	94206	12361
884	94325	12256
885	94428	12149
886	94533	12043
887	94648	11937
888	94765	11832
889	94888	11727
890	94987	11620
891	95093	11513
892	95185	11405
893	95291	11298
894	95390	11191
895	95496	11084
896	95601	10977
897	95696	10869
898	95800	10762
899	95903	10655
900	96009	10549
901	96109	10442
902	96203	10334
903	96314	10228
904	96440	10123
905	96553	10017
906	96656	9910
907	96755	9803
908	96854	9696
909	96955	9589
910	97060	9482
911	97157	9374
912	97255	9267
913	97372	9162
914	97477	9055
915	97574	8947
916	97677	8841
917	97786	8734
918	97903	8629
919	98014	8522
